# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12432
#@/user_id	6099a6d5-586b-43cf-a201-a9684551a2a9
a 	啊	c=204 d=5.82978 t=12432
san xing 	三星	c=4 d=0.694197 t=12432
sao 	嫂	c=1 d=1 t=9803
se 	色	c=1 d=1 t=8909
se diao 	色調	c=1 d=0.0968105 t=12432
se qing 	色情	c=3 d=1.99217 t=7411
sha 	傻	c=1 d=1 t=5751
sha 	啥	c=31 d=1.41667 t=12250
sha 	殺	c=2 d=1.72253 t=8565
sha 	莎	c=1 d=1 t=9394
sha a 	啥啊	c=5 d=1.00149 t=11094
sha an 	沙岸	c=1 d=1 t=3278
sha ban ben 	啥版本	c=1 d=1 t=4288
sha bi 	傻逼	c=5 d=1.00013 t=10944
sha de 	啥的	c=4 d=0.319819 t=12432
sha de me 	啥的麼	c=1 d=1 t=3453
sha diao 	沙雕	c=4 d=0.480347 t=12432
sha dou 	啥都	c=1 d=1 t=11860
sha gua 	傻瓜	c=4 d=1.01098 t=10428
sha lai zhe 	啥來着	c=1 d=1 t=2318
sha le 	傻了	c=1 d=1 t=7488
sha le 	啥了	c=1 d=1 t=7880
sha le 	殺了	c=4 d=3.26997 t=8563
sha lei xing 	啥類型	c=1 d=1 t=8942
sha ren 	殺人	c=1 d=1 t=8488
sha shi hou 	啥時候	c=3 d=1.00013 t=12349
sha si 	殺死	c=1 d=1 t=6871
sha yi si 	啥意思	c=3 d=2.98506 t=1934
sha zi 	傻子	c=0 d=0.0442639 t=12432
sha zi 	啥子	c=1 d=1 t=2137
shan 	刪	c=4 d=0.190383 t=12432
shan 	閃	c=1 d=1 t=5573
shan chu 	刪除	c=1 d=0.396531 t=12432
shan diao 	刪掉	c=5 d=1.04783 t=11562
shan le 	刪了	c=2 d=0.302704 t=12432
shang 	上	c=23 d=0.691666 t=12432
shang 	商	c=1 d=1 t=8361
shang ban 	上班	c=1 d=1 t=9377
shang bu qu 	上不去	c=1 d=1 t=8820
shang ci 	上次	c=2 d=0.0873481 t=12432
shang dian 	商店	c=2 d=1 t=9780
shang ge 	上個	c=1 d=1 t=7971
shang guo 	上過	c=1 d=1 t=5827
shang hai 	傷害	c=2 d=1 t=11971
shang jia 	商家	c=1 d=1 t=8167
shang lai 	上來	c=0 d=0.1 t=7305
shang lai le 	上來了	c=1 d=1 t=7306
shang me 	上麼	c=1 d=1 t=12196
shang mian 	上面	c=4 d=1 t=11715
shang qu 	上去	c=2 d=1 t=8039
shang shi 	上市	c=1 d=1 t=8087
shang tao 	商討	c=1 d=1 t=8636
shang wu 	上午	c=1 d=1 t=2000
shang ye 	商業	c=1 d=1 t=2565
shao 	少	c=2 d=1.13738 t=10881
shao 	燒	c=1 d=1 t=4710
shao da 	少打	c=1 d=1 t=3808
shao de 	燒得	c=1 d=1 t=3124
shao le 	燒了	c=1 d=1 t=4098
shao wei 	稍微	c=3 d=1.99501 t=10759
shao you 	稍有	c=1 d=1 t=9453
she 	設	c=1 d=1 t=10316
she ding 	設定	c=1 d=1 t=12051
she hui 	社會	c=5 d=1.82701 t=12154
she ji 	設計	c=1 d=1 t=12330
she ji dao 	涉及到	c=2 d=1.94649 t=12331
she ji gan 	設計感	c=1 d=1 t=9246
she jiao 	社交	c=1 d=1 t=9167
she qu 	社區	c=0 d=0.1 t=9737
she si 	社死	c=4 d=0.222017 t=12432
she si jiu 	社死就	c=1 d=1 t=6063
she zhi 	設置	c=9 d=1 t=7426
she zhi cheng 	設置成	c=1 d=1 t=4199
she zhi li 	設置裏	c=1 d=1 t=4191
shei 	誰	c=7 d=0.798556 t=12432
shei bu 	誰不	c=1 d=1 t=8963
shei hui 	誰會	c=1 d=1 t=3855
shei lai 	誰來	c=1 d=1 t=3563
shei you 	誰有	c=2 d=0.0804596 t=12432
shen 	沈	c=1 d=1 t=4623
shen 	神	c=4 d=1.12718 t=9615
shen bian 	身邊	c=6 d=1.0534 t=12265
shen bian ren 	身邊人	c=1 d=1 t=8379
shen gao 	身高	c=1 d=1 t=5232
shen ke 	深刻	c=1 d=1 t=11271
shen me 	什麼	c=35 d=0.259244 t=12432
shen me 	甚麼	c=5 d=1.08781 t=6266
shen mi 	神祕	c=1 d=1 t=7769
shen pan 	審判	c=1 d=1 t=1604
shen qi 	神奇	c=3 d=1 t=10834
shen qi a 	神奇啊	c=1 d=1 t=3816
shen shang 	身上	c=0 d=0.1 t=11496
shen ti 	身體	c=1 d=1 t=5775
shen yu 	神諭	c=1 d=1 t=9609
shen yu 	神輿	c=2 d=1.1764 t=9608
shen zang 	腎臟	c=1 d=0.0706512 t=12432
sheng 	生	c=5 d=1.00064 t=10408
sheng 	省	c=1 d=0.451581 t=12432
sheng bing 	生病	c=1 d=1 t=1884
sheng cao 	生草	c=2 d=1.13534 t=9241
sheng cao ji 	生草機	c=1 d=1 t=8838
sheng chan li 	生產力	c=1 d=1 t=12380
sheng cheng 	生成	c=5 d=4.5294 t=9522
sheng cun 	生存	c=3 d=0.50409 t=12432
sheng huo 	生活	c=7 d=1.02586 t=11836
sheng li 	勝利	c=1 d=1 t=1951
sheng ming 	生命	c=2 d=1.00041 t=11211
sheng ming 	聲明	c=1 d=0.603506 t=12432
sheng wu 	生物	c=2 d=1.81058 t=6384
sheng xia 	剩下	c=1 d=1 t=8701
sheng yin 	聲音	c=1 d=1 t=9714
sheng yu lv 	生育率	c=1 d=1 t=10420
shi 	事	c=7 d=1 t=12431
shi 	市	c=1 d=0.822835 t=12432
shi 	師	c=1 d=1 t=11358
shi 	式	c=2 d=1.00631 t=10349
shi 	是	c=220 d=4.69656 t=12432
shi 	時	c=2 d=1 t=11696
shi a 	是啊	c=2 d=1.00971 t=4427
shi ba 	是吧	c=1 d=1 t=7586
shi bu he li de 	是不合理的	c=1 d=1 t=7124
shi bu shi 	是不是	c=7 d=0.228779 t=12432
shi dai 	時代	c=2 d=1.08208 t=7464
shi de 	是的	c=11 d=1.85815 t=9697
shi fang 	釋放	c=2 d=1 t=11276
shi fou 	是否	c=1 d=1 t=1691
shi ge 	是個	c=7 d=0.100021 t=11474
shi hou 	時候	c=11 d=0.508113 t=12432
shi hui 	實惠	c=1 d=1 t=6381
shi ji 	實際	c=3 d=1.07305 t=8429
shi ji shang 	實際上	c=12 d=0.373439 t=12432
shi jian 	實踐	c=3 d=1.99084 t=4725
shi jian 	時間	c=9 d=0.970446 t=12432
shi jie 	世界	c=12 d=1.00708 t=11612
shi ke yi 	是可以	c=1 d=1 t=5069
shi me 	是麼	c=5 d=1.00494 t=9557
shi meng 	釋夢	c=1 d=1 t=2161
shi min 	市民	c=1 d=1 t=1925
shi neng 	勢能	c=1 d=1 t=10853
shi pei 	適配	c=3 d=2.92654 t=2201
shi pin 	視頻	c=28 d=0.290666 t=12432
shi qing 	事情	c=8 d=1.9305 t=11723
shi ren wei 	是認爲	c=1 d=1 t=5067
shi sha 	是啥	c=9 d=0.172161 t=12432
shi sha a 	是啥啊	c=1 d=0.543351 t=12432
shi shang 	史上	c=1 d=1 t=2590
shi shei 	是誰	c=6 d=1.08046 t=12405
shi shi 	事實	c=4 d=1 t=12134
shi shi 	試試	c=17 d=0.722527 t=12432
shi ti 	實體	c=1 d=1 t=5684
shi wei 	視爲	c=1 d=0.140156 t=12432
shi wei le 	是爲了	c=1 d=1 t=1320
shi wu 	事物	c=0 d=0.1 t=11314
shi wu 	食物	c=1 d=0.0587185 t=12432
shi wu de 	事物的	c=1 d=1 t=11315
shi xia 	試下	c=1 d=1 t=4223
shi yao 	是要	c=1 d=1 t=5668
shi yi 	是以	c=1 d=1 t=1420
shi yi jian 	是一件	c=1 d=1 t=11322
shi yin wei 	是因爲	c=2 d=1 t=10292
shi yong 	使用	c=8 d=1.02076 t=12343
shi zai 	是在	c=2 d=1 t=9867
shi zai shi 	實在是	c=4 d=0.895834 t=12432
shi zhong 	時鐘	c=1 d=1 t=5581
shou 	受	c=2 d=1.00106 t=3757
shou 	收	c=3 d=1.0002 t=10814
shou bu le 	受不了	c=1 d=1 t=9157
shou cang 	收藏	c=1 d=1 t=7764
shou dong 	手動	c=2 d=1.00058 t=9819
shou du 	首都	c=1 d=1 t=11758
shou fei 	收費	c=2 d=1.06204 t=5913
shou guo 	受過	c=1 d=0.188247 t=12432
shou hai zhe 	受害者	c=1 d=1 t=8470
shou hou 	售後	c=1 d=0.814647 t=12432
shou ji 	手機	c=42 d=1.32485 t=12432
shou ji 	收集	c=0 d=0.0343009 t=12432
shou ji hao 	手機號	c=1 d=1 t=10752
shou ji me 	手機麼	c=2 d=1 t=11109
shou ji ni 	手機你	c=1 d=1 t=1989
shou ji qi 	收集器	c=1 d=0.344728 t=12432
shou nve 	受虐	c=1 d=1 t=4103
shou shang 	手上	c=1 d=1 t=2545
shou wan 	手腕	c=1 d=1 t=10058
shou xian 	首先	c=5 d=0.600496 t=12432
shou yi 	受益	c=1 d=1 t=5387
shou yin 	手淫	c=2 d=1 t=9599
shu 	數	c=3 d=1 t=5282
shu fu 	舒服	c=1 d=1 t=4571
shu gen 	樹根	c=0 d=0.1 t=6378
shu gen de 	樹根的	c=1 d=1 t=6379
shu jia 	暑假	c=1 d=0.0672055 t=12432
shu lian 	熟練	c=1 d=1 t=6635
shu pi 	樹皮	c=1 d=1 t=9001
shu ren 	數人	c=1 d=1 t=6685
shu ru fa 	輸入法	c=2 d=1 t=11340
shu xi 	熟悉	c=2 d=1.8825 t=3800
shu xing 	屬性	c=1 d=1 t=12243
shu xue 	數學	c=8 d=0.941765 t=12432
shu zi 	數字	c=1 d=1 t=4910
shua 	刷	c=1 d=0.171187 t=12432
shuai mai 	甩賣	c=1 d=1 t=4322
shuan 	栓	c=1 d=1 t=10108
shuang 	爽	c=2 d=1.86071 t=2655
shuang biao 	雙標	c=3 d=1.00038 t=11539
shuang duo 	爽多	c=1 d=1 t=2647
shuang pin 	雙拼	c=1 d=1 t=2503
shui 	水	c=2 d=1 t=8691
shui 	睡	c=5 d=0.035437 t=12432
shui bu zhao 	睡不着	c=3 d=1 t=9574
shui hu 	水滸	c=1 d=1 t=5359
shui hu zhuan 	水滸傳	c=1 d=1 t=5371
shui jiao 	睡覺	c=4 d=0.153355 t=12432
shui le 	睡了	c=1 d=1 t=12062
shui mian 	睡眠	c=4 d=2.88854 t=9919
shui zhao 	睡着	c=2 d=1 t=11844
shun feng 	順豐	c=1 d=0.839457 t=12432
shuo 	說	c=41 d=0.307279 t=12432
shuo chu 	說出	c=2 d=1.03304 t=10898
shuo de 	說的	c=3 d=1.00002 t=10574
shuo de shi 	說的是	c=1 d=1 t=9022
shuo hua 	說話	c=1 d=1 t=3519
shuo le 	說了	c=1 d=1 t=10677
shuo ming 	說明	c=3 d=1 t=8183
shuo ne 	說呢	c=1 d=1 t=3854
shuo shi 	說是	c=0 d=0.1 t=3118
shuo shuo 	說說	c=2 d=1.03255 t=11257
shuo wan 	說完	c=1 d=1 t=10229
shuo yi sheng 	說一聲	c=1 d=1 t=4617
shuo zhen de 	說真的	c=3 d=1.06578 t=6843
si 	四	c=2 d=1.3413 t=11855
si 	斯	c=1 d=1 t=8984
si 	死	c=3 d=1.08824 t=7585
si 	私	c=1 d=1 t=6436
si de 	死的	c=1 d=0.1 t=10438
si huo 	死活	c=1 d=1 t=8851
si kao 	思考	c=1 d=1 t=6743
si le 	死了	c=7 d=0.0569831 t=12432
si lu 	思路	c=1 d=1 t=1291
si qu 	死去	c=1 d=1 t=7197
si ren 	私人	c=1 d=1 t=7830
si wei 	思維	c=1 d=1 t=11983
si xiang 	思想	c=1 d=1 t=12143
si xing 	死刑	c=1 d=1 t=10081
si yang chang 	飼養場	c=1 d=1 t=9008
si yu 	死於	c=1 d=1 t=9657
song 	送	c=3 d=1.26054 t=8687
song da 	送達	c=1 d=0.017953 t=12432
song shang 	送上	c=1 d=1 t=6479
sou 	搜	c=7 d=0.0561348 t=12432
sou bu dao 	搜捕到	c=1 d=1 t=11861
sou le 	搜了	c=1 d=1 t=8430
sou suo 	搜索	c=2 d=1.92774 t=7632
sou ti 	搜題	c=2 d=0.65377 t=12432
su 	速	c=1 d=0.157237 t=12432
su lian 	蘇聯	c=1 d=1 t=9389
suan 	算	c=4 d=1 t=12137
suan de 	酸的	c=1 d=1 t=7498
suan le 	算了	c=3 d=0.549329 t=11303
suan le ba 	算了吧	c=1 d=1 t=11304
suan shi 	算是	c=1 d=1 t=10119
sui 	隨	c=1 d=1 t=6747
sui bian 	隨便	c=3 d=1.01869 t=5678
sui ji 	隨機	c=0 d=0.1 t=9996
sui ji de 	隨機的	c=1 d=1 t=9997
sui pian 	碎片	c=1 d=1 t=11984
sui ran 	雖然	c=13 d=0.913931 t=12432
sui shi 	隨時	c=2 d=1 t=7539
sui shuo 	雖說	c=1 d=1 t=10087
suo 	所	c=6 d=1.00033 t=10552
suo jian 	所見	c=1 d=1 t=11713
suo shuo 	所說	c=1 d=1 t=1486
suo wei 	所謂	c=3 d=1.26054 t=9862
suo xie 	縮寫	c=1 d=1 t=8366
suo yi 	所以	c=111 d=3.44464 t=12432
suo yi na 	所以那	c=2 d=1.02746 t=8475
suo yi ne 	所以呢	c=2 d=0.57695 t=12432
suo yi shuo 	所以說	c=2 d=1.00874 t=11490
suo yi wo 	所以我	c=1 d=1 t=12314
suo yo 	所喲	c=1 d=1 t=6262
suo yong yuan 	所永遠	c=1 d=1 t=9395
suo you 	所有	c=6 d=2.00004 t=12337
suo you quan 	所有權	c=1 d=1 t=12332
ta 	他	c=17 d=0.303178 t=12432
ta 	塔	c=1 d=1 t=9390
ta 	她	c=1 d=1 t=6854
ta 	它	c=4 d=1 t=9766
ta ba 	他把	c=1 d=1 t=10286
ta de 	他的	c=1 d=1 t=4773
ta de 	她的	c=1 d=1 t=11429
ta lia 	他倆	c=2 d=1.73403 t=7220
ta ma de 	他媽的	c=1 d=0.843665 t=12432
ta men 	他們	c=8 d=2.61446 t=12432
ta shi 	他是	c=2 d=1.00022 t=9778
ta yao 	他要	c=1 d=1 t=4379
ta ye 	他也	c=1 d=1 t=2491
ta yong de 	它用的	c=1 d=1 t=5915
ta you 	他又	c=1 d=0.00645703 t=12432
ta you bu shi 	他又不是	c=1 d=0.064894 t=12432
tai 	太	c=9 d=0.919528 t=12432
tai 	臺	c=1 d=1 t=9102
tai can le 	太慘了	c=1 d=0.208045 t=12432
tai chang 	太長	c=0 d=0.1 t=6232
tai chang le 	太長了	c=1 d=1 t=6233
tai di 	太低	c=1 d=1 t=2107
tai du 	態度	c=1 d=1 t=9030
tai du 	臺獨	c=1 d=1 t=8692
tai duo 	太多	c=2 d=1 t=11808
tai gui 	太貴	c=1 d=1 t=7020
tai hao 	太好	c=1 d=0.29671 t=12432
tai hao xiao 	太好笑	c=1 d=0.193013 t=12432
tai ji 	太極	c=15 d=0.664738 t=12432
tai li hai 	太厲害	c=1 d=1 t=1251
tai luan 	太亂	c=0 d=0.1 t=8411
tai luan le 	太亂了	c=1 d=1 t=8412
tai ma fan 	太麻煩	c=1 d=1 t=4522
tai ma fan le 	太麻煩了	c=1 d=1 t=2133
tai man 	太慢	c=1 d=1 t=8298
tai mian 	檯面	c=1 d=1 t=10725
tai ruo 	太弱	c=0 d=0.1 t=11667
tai ruo xiao le 	太弱小了	c=1 d=1 t=11668
tai zhong 	太重	c=1 d=1 t=4784
tan 	談	c=1 d=1 t=3949
tao bao 	淘寶	c=3 d=0.210136 t=12432
tao li 	逃離	c=1 d=1 t=7718
tao lun 	討論	c=3 d=1 t=10221
tao yan 	討厭	c=1 d=1 t=3856
tao zui 	陶醉	c=2 d=1 t=6947
te 	特	c=2 d=1.00007 t=6330
te bie 	特別	c=3 d=1 t=11650
te dian 	特點	c=1 d=1 t=8415
te shu 	特殊	c=2 d=1 t=9302
teng 	疼	c=1 d=1 t=2096
teng xun 	騰訊	c=10 d=0.493842 t=12432
ti 	提	c=1 d=1 t=9550
ti 	題	c=6 d=0.647265 t=12432
ti 	體	c=1 d=1 t=9847
ti cai 	題材	c=1 d=1 t=12038
ti chu 	提出	c=1 d=1 t=2272
ti dai 	替代	c=1 d=1 t=6596
ti dai pin 	替代品	c=1 d=1 t=5346
ti gao 	提高	c=2 d=1.20701 t=9910
ti jian 	體檢	c=1 d=0.118245 t=12432
ti pai pai 	題拍拍	c=1 d=1 t=2883
ti sheng 	提升	c=2 d=1 t=8214
ti shi 	提示	c=0 d=0.1 t=4187
ti shi le 	提示了	c=1 d=1 t=4188
ti wen 	提問	c=2 d=1.97045 t=1531
ti xian 	體現	c=1 d=1 t=4970
ti yan 	體驗	c=0 d=0.1 t=11416
ti yan guo 	體驗過	c=1 d=1 t=11417
ti ye 	體液	c=1 d=1 t=5055
ti yu 	體育	c=1 d=1 t=7478
ti zi 	梯子	c=4 d=1.93171 t=7396
tian 	天	c=3 d=0.0219278 t=12432
tian 	舔	c=4 d=3.51075 t=6430
tian cai 	天才	c=2 d=1 t=12302
tian huang 	天皇	c=1 d=1 t=2695
tian jia 	添加	c=9 d=0.0715338 t=12432
tian kong 	天空	c=1 d=1 t=7200
tian qi 	天氣	c=2 d=0.316637 t=12432
tian tan 	天壇	c=1 d=0.683861 t=12432
tian tian 	天天	c=1 d=1 t=6475
tian wang 	天王	c=2 d=1.3413 t=11856
tiao 	條	c=1 d=1 t=7534
tiao 	調	c=1 d=0.0246002 t=12432
tiao 	跳	c=1 d=1 t=9177
tiao dong 	跳動	c=1 d=1 t=6976
tiao jian 	條件	c=1 d=0.0728029 t=12432
tiao jiao 	調教	c=1 d=0.0735345 t=12432
tiao le 	挑了	c=1 d=1 t=6855
tiao shi 	調試	c=1 d=0.0144076 t=12432
tie 	貼	c=1 d=1 t=7599
tie pian 	貼片	c=1 d=1 t=5986
tie zhi 	貼紙	c=2 d=1.97045 t=5746
ting 	挺	c=5 d=0.496585 t=12432
ting fang bian 	挺方便	c=1 d=1 t=6332
ting hao 	挺好	c=1 d=0.100001 t=8273
ting hao de 	挺好的	c=1 d=1 t=8274
ting hao kan de 	挺好看得	c=1 d=1 t=3412
ting mei 	挺沒	c=1 d=1 t=4574
ting shuo 	聽說	c=2 d=0.88692 t=12432
ting ting 	聽聽	c=1 d=1 t=7517
ting yu 	庭宇	c=1 d=1 t=12422
ting yuan 	庭院	c=1 d=1 t=12421
ting zhi 	停止	c=2 d=1.94649 t=4161
tong 	同	c=7 d=4.03089 t=10397
tong guo 	通過	c=2 d=1 t=5054
tong ji 	統計	c=0 d=0.1 t=5154
tong ji guo 	統計過	c=1 d=1 t=2241
tong ku 	痛苦	c=2 d=1 t=11665
tong su 	通俗	c=1 d=1 t=3607
tong wen 	同文	c=3 d=0.327312 t=12432
tong xing lian 	同性戀	c=21 d=0.141564 t=12432
tong xue 	同學	c=6 d=1.97531 t=12415
tong yi 	同一	c=1 d=1 t=9579
tong yi 	同意	c=1 d=1 t=11003
tong yi zhong 	同一種	c=1 d=1 t=9577
tong yong 	通用	c=0 d=0.1 t=3241
tong yong me 	通用麼	c=1 d=1 t=3242
tong zhi 	統治	c=2 d=1.96561 t=10560
tong zhi 	通知	c=3 d=1.09976 t=8108
tou 	透	c=1 d=1 t=3511
tou 	頭	c=1 d=1 t=11013
tou fa 	頭髮	c=2 d=1.1979 t=3903
tou pao 	偷跑	c=1 d=1 t=6345
tou teng 	頭疼	c=1 d=1 t=1844
tou tou 	頭頭	c=1 d=1 t=7041
tu 	吐	c=1 d=1 t=1772
tu 	圖	c=3 d=0.084163 t=12432
tu biao 	圖標	c=1 d=1 t=3072
tu cao 	吐曹	c=2 d=1.96561 t=11558
tu chu lai 	吐出來	c=1 d=1 t=2380
tu fang bian 	圖方便	c=1 d=1 t=5919
tu hao 	土豪	c=1 d=1 t=9870
tu ku 	圖庫	c=2 d=1.01162 t=6326
tu le 	禿了	c=1 d=1 t=11014
tu pian 	圖片	c=2 d=1 t=6311
tu ran 	突然	c=6 d=0.0575558 t=12432
tu ran shuo 	突然說	c=1 d=1 t=3557
tu tu 	兔兔	c=2 d=0.293956 t=12432
tuan 	團	c=1 d=0.474734 t=12432
tuan dui 	團隊	c=1 d=1 t=7281
tui dao 	推到	c=1 d=1 t=3468
tui jian 	推薦	c=5 d=0.168638 t=12432
tui jian ni 	推薦你	c=1 d=1 t=12315
tui song 	推送	c=2 d=1.97045 t=3881
tui te 	推特	c=6 d=1.12954 t=6096
tun tiao 	豚跳	c=1 d=1 t=9171
tuo 	脫	c=3 d=2.18607 t=9327
tuo li 	脫離	c=1 d=1 t=4554
tuo luo 	脫落	c=1 d=1 t=9989
tuo shui 	脫水	c=2 d=1.02237 t=8334
tuo xie 	妥協	c=3 d=1.00051 t=8857
wa 	哇	c=4 d=0.876476 t=12432
wa 	挖	c=2 d=0.144619 t=12432
wai 	外	c=1 d=1 t=8827
wai guo 	外國	c=1 d=1 t=4861
wai hao 	外號	c=1 d=1 t=8149
wai mian 	外面	c=1 d=1 t=5048
wai wang 	外網	c=3 d=0.509156 t=12432
wan 	完	c=7 d=0.13068 t=12432
wan 	晚	c=3 d=0.0241131 t=12432
wan 	玩	c=11 d=1 t=12272
wan an 	晚安	c=4 d=0.97531 t=12432
wan de 	玩的	c=2 d=1.19109 t=3203
wan guo 	玩過	c=2 d=0.0485578 t=12432
wan jia 	玩家	c=0 d=0.0402524 t=12432
wan le 	完了	c=2 d=1.00009 t=7067
wan mei 	完美	c=2 d=1 t=11503
wan quan 	完全	c=10 d=0.311923 t=12432
wan sha a 	玩啥啊	c=1 d=0.283654 t=12432
wan shi 	完事	c=5 d=1.03108 t=12289
wan shi le 	完事了	c=1 d=1 t=8205
wan sui 	萬歲	c=1 d=1 t=10467
wan xi 	惋惜	c=2 d=1.44264 t=7256
wan xiao 	玩笑	c=2 d=0.137381 t=12432
wan yi 	玩意	c=3 d=1 t=10450
wan yong 	萬用	c=1 d=1 t=1952
wan zheng 	完整	c=6 d=1.21654 t=8435
wang 	王	c=7 d=0.67368 t=12432
wang 	網	c=2 d=1.0002 t=7054
wang hong 	網紅	c=1 d=1 t=7056
wang ji 	忘記	c=1 d=0.0581343 t=12432
wang jing 	網景	c=1 d=1 t=12069
wang lao shi 	王老師	c=1 d=1 t=1743
wang le 	忘了	c=3 d=1 t=11747
wang luo 	網絡	c=2 d=0.102284 t=12432
wang shang 	網上	c=2 d=1 t=11806
wang xia 	往下	c=1 d=1 t=2821
wang xia 	網下	c=1 d=1 t=6032
wang xiang 	妄想	c=1 d=1 t=11738
wang ya jing 	王雅靜	c=4 d=1.09957 t=5727
wang ye 	網頁	c=1 d=0.0158817 t=12432
wang ye le 	網頁了	c=1 d=1 t=4661
wang ye me 	網頁麼	c=1 d=0.159614 t=12432
wang yi 	網易	c=2 d=0.151072 t=12432
wang yi yun 	網易雲	c=3 d=1.96866 t=6805
wang you 	網友	c=2 d=0.482754 t=12432
wang zhan 	網站	c=7 d=0.752014 t=12432
wang zhe 	王者	c=1 d=1 t=8684
wang zhi 	網址	c=1 d=1 t=4751
wei 	微	c=10 d=0.550548 t=12432
wei 	未	c=4 d=0.0959452 t=12432
wei 	爲	c=6 d=1.44811 t=12432
wei bo 	微博	c=3 d=1.00949 t=9407
wei bo 	微波	c=1 d=1 t=8131
wei bo 	微薄	c=1 d=1 t=9894
wei da 	偉大	c=2 d=0.00780817 t=12432
wei da de 	偉大的	c=2 d=0.0784731 t=12432
wei du 	緯度	c=1 d=1.09608 t=7139
wei du de 	緯度的	c=1 d=1 t=7132
wei hu 	維護	c=2 d=1.00002 t=7569
wei le 	爲了	c=12 d=0.800748 t=12432
wei rong 	爲榮	c=1 d=1 t=4983
wei ruan 	微軟	c=2 d=1 t=11239
wei sha 	爲啥	c=8 d=0.0389416 t=12432
wei sha hui 	爲啥會	c=1 d=1 t=5822
wei sha yao qu 	爲啥要去	c=1 d=0.0658748 t=12432
wei shen me 	爲什麼	c=34 d=2.09782 t=11619
wei shen me 	爲甚麼	c=1 d=1 t=8479
wei shu bu duo 	爲數不多	c=1 d=1 t=9644
wei suo 	萎縮	c=1 d=1 t=12425
wei ti 	爲題	c=1 d=1 t=5266
wei xie 	猥褻	c=4 d=2.01674 t=1649
wei xin 	微信	c=65 d=3.21098 t=12432
wei yi 	唯一	c=6 d=1.16546 t=8768
wei yu 	位於	c=1 d=1 t=7000
wei zhi 	位置	c=2 d=1.82696 t=9519
wei zhuang 	僞裝	c=2 d=0.350165 t=12432
wen 	問	c=5 d=1.00266 t=12108
wen 	文	c=2 d=0.516851 t=12432
wen dang 	文檔	c=1 d=1 t=2209
wen de 	問得	c=2 d=1.00114 t=10608
wen ding 	穩定	c=3 d=1 t=5940
wen dou 	問都	c=1 d=1 t=12105
wen hua 	文化	c=8 d=2.15479 t=10530
wen jian 	文件	c=8 d=0.461024 t=12432
wen jian jia 	文件夾	c=1 d=1 t=9541
wen shen 	紋身	c=1 d=1 t=6387
wen ti 	問題	c=30 d=0.375645 t=12432
wen ti le 	問題了	c=2 d=1 t=11473
wen ti ne 	問題呢	c=2 d=1 t=11385
wen ti shi 	問題是	c=4 d=1 t=10896
wen wen 	問問	c=3 d=1.00427 t=11948
wen xia 	問下	c=2 d=1 t=8113
wen zhang 	文章	c=1 d=1 t=11411
wen zi 	文字	c=2 d=0.0317456 t=12432
wo 	我	c=132 d=2.87773 t=12432
wo a 	我啊	c=1 d=1 t=10636
wo ai 	我愛	c=2 d=0.421052 t=12432
wo ai ni 	我愛你	c=1 d=1 t=11840
wo an 	我安	c=1 d=1 t=5875
wo ba 	我把	c=3 d=0.738213 t=12432
wo bang 	我幫	c=1 d=1 t=10607
wo bang ni 	我幫你	c=0 d=0.1 t=4893
wo bang ni zuo 	我幫你做	c=1 d=1 t=4894
wo bi 	握筆	c=1 d=1.06079 t=9681
wo bi jiao 	我比較	c=1 d=1 t=3413
wo bing bu 	我並不	c=1 d=0.375311 t=12432
wo bu 	我不	c=3 d=0.0362402 t=12432
wo bu hui 	我不會	c=2 d=0.212402 t=12432
wo bu ji de 	我不記得	c=1 d=1 t=12413
wo bu ren tong 	我不認同	c=1 d=1 t=9317
wo bu shi 	我不是	c=2 d=0.319819 t=12432
wo bu shi hen xi huan 	我不是很喜歡	c=1 d=0.101266 t=12432
wo bu shuo 	我不說	c=1 d=1 t=11408
wo bu xi huan 	我不喜歡	c=1 d=0.364219 t=12432
wo bu xiang 	我不想	c=1 d=1 t=11702
wo bu zhi dao 	我不知道	c=6 d=2.57178 t=10588
wo bu zhun 	握不準	c=1 d=1 t=12168
wo can jia le 	我參加了	c=1 d=1 t=7484
wo chi fan 	我吃飯	c=1 d=0.594521 t=12432
wo cong 	我從	c=1 d=1 t=8247
wo da suan 	我打算	c=1 d=1 t=3001
wo dao shi hou 	我到時候	c=1 d=1 t=9050
wo de 	我的	c=14 d=0.97531 t=12432
wo de qun 	我的羣	c=1 d=1 t=5884
wo de shi jie 	我的世界	c=2 d=1.00001 t=7818
wo de yi si shi 	我的意思是	c=2 d=1.86502 t=8925
wo dian nao 	我電腦	c=1 d=1 t=6536
wo dong 	我懂	c=1 d=1 t=12147
wo dou 	我都	c=3 d=1 t=11131
wo dui 	我對	c=1 d=1 t=7075
wo fang wen bu le 	我訪問不了	c=1 d=1 t=4506
wo gai 	我該	c=1 d=1 t=6530
wo gang 	我剛	c=3 d=1 t=12397
wo gang gang 	我剛剛	c=1 d=1 t=6336
wo ge 	我哥	c=1 d=1 t=4765
wo gei nan 	我給難	c=1 d=1 t=7722
wo gei ni 	我給你	c=2 d=1 t=10784
wo gei ni ge 	我給你個	c=1 d=1 t=8045
wo guo 	我國	c=1 d=1 t=4842
wo hai 	我還	c=3 d=1.00064 t=11112
wo hai shi 	我還是	c=1 d=1 t=6527
